Pinyin	Bopomofo	IPA	Wade-Giles	GR	Simp.GR	MPS2	Tongyong	Yale
pǐn	ㄆㄧㄣˇ	pʰin˨˩˦	p'in³	piin	piin	pǐn	pǐn	pǐn
pìn	ㄆㄧㄣˋ	pʰin˥˩	p'in⁴	pinn	pihn	pìn	pìn	pìn
pin	˙ㄆㄧㄣ	pʰin	p'in⁵	.pin	'pin	pin	pi̊n	pin
pīng	ㄆㄧㄥ	pʰiŋ˥	p'ing¹	ping	ping	pīng	ping	pīng
píng	ㄆㄧㄥˊ	pʰiŋ˧˥	p'ing²	pyng	pirng	píng	píng	píng
pǐng	ㄆㄧㄥˇ	pʰiŋ˨˩˦	p'ing³	piing	piing	pǐng	pǐng	pǐng
pìng	ㄆㄧㄥˋ	pʰiŋ˥˩	p'ing⁴	pinq	pihng	pìng	pìng	pìng
ping	˙ㄆㄧㄥ	pʰiŋ	p'ing⁵	.ping	'ping	ping	pi̊ng	ping
pō	ㄆㄛ	pʰo˥	p'o¹	po	po	pō	po	pwō
pó	ㄆㄛˊ	pʰo˧˥	p'o²	por	por	pó	pó	pwó
pǒ	ㄆㄛˇ	pʰo˨˩˦	p'o³	poo	poo	pǒ	pǒ	pwǒ
pò	ㄆㄛˋ	pʰo˥˩	p'o⁴	poh	poh	pò	pò	pwò
po	˙ㄆㄛ	pʰo	p'o⁵	.po	'po	po	po̊	pwo
pōu	ㄆㄡ	pʰoʊ˥	p'ou¹	pou	pou	pōu	pou	pōu
póu	ㄆㄡˊ	pʰoʊ˧˥	p'ou²	pour	pour	póu	póu	póu
pǒu	ㄆㄡˇ	pʰoʊ˨˩˦	p'ou³	poou	poou	pǒu	pǒu	pǒu
pòu	ㄆㄡˋ	pʰoʊ˥˩	p'ou⁴	pow	pouh	pòu	pòu	pòu
pou	˙ㄆㄡ	pʰoʊ	p'ou⁵	.pou	'pou	pou	po̊u	pou
pū	ㄆㄨ	pʰu˥	p'u¹	pu	pu	pū	pu	pū
pú	ㄆㄨˊ	pʰu˧˥	p'u²	pwu	pur	pú	pú	pú
pǔ	ㄆㄨˇ	pʰu˨˩˦	p'u³	puu	puu	pǔ	pǔ	pǔ
pù	ㄆㄨˋ	pʰu˥˩	p'u⁴	puh	puh	pù	pù	pù
pu	˙ㄆㄨ	pʰu	p'u⁵	.pu	'pu	pu	pů	pu
qī	ㄑㄧ	t͡ɕʰi˥	ch'i¹	chi	chi	chī	ci	chī
qí	ㄑㄧˊ	t͡ɕʰi˧˥	ch'i²	chyi	chir	chí	cí	chí
qǐ	ㄑㄧˇ	t͡ɕʰi˨˩˦	ch'i³	chii	chii	chǐ	cǐ	chǐ
qì	ㄑㄧˋ	t͡ɕʰi˥˩	ch'i⁴	chih	chih	chì	cì	chì
qi	˙ㄑㄧ	t͡ɕʰi	ch'i⁵	.chi	'chi	chi	ci̊	chi
qiā	ㄑㄧㄚ	t͡ɕʰja˥	ch'ia¹	chia	chia	chiā	cia	chyā
qiá	ㄑㄧㄚˊ	t͡ɕʰja˧˥	ch'ia²	chya	chiar	chiá	ciá	chyá
qiǎ	ㄑㄧㄚˇ	t͡ɕʰja˨˩˦	ch'ia³	chea	chiaa	chiǎ	ciǎ	chyǎ
qià	ㄑㄧㄚˋ	t͡ɕʰja˥˩	ch'ia⁴	chiah	chiah	chià	cià	chyà
qia	˙ㄑㄧㄚ	t͡ɕʰja	ch'ia⁵	.chia	'chia	chia	ciå	chya
qiān	ㄑㄧㄢ	t͡ɕʰjɛn˥	ch'ien¹	chian	chian	chiān	cian	chyān
qián	ㄑㄧㄢˊ	t͡ɕʰjɛn˧˥	ch'ien²	chyan	chiarn	chián	cián	chyán
qiǎn	ㄑㄧㄢˇ	t͡ɕʰjɛn˨˩˦	ch'ien³	chean	chiaan	chiǎn	ciǎn	chyǎn
qiàn	ㄑㄧㄢˋ	t͡ɕʰjɛn˥˩	ch'ien⁴	chiann	chiahn	chiàn	ciàn	chyàn
qian	˙ㄑㄧㄢ	t͡ɕʰjɛn	ch'ien⁵	.chian	'chian	chian	ciån	chyan
qiāng	ㄑㄧㄤ	t͡ɕʰjɑŋ˥	ch'iang¹	chiang	chiang	chiāng	ciang	chyāng
qiáng	ㄑㄧㄤˊ	t͡ɕʰjɑŋ˧˥	ch'iang²	chyang	chiarng	chiáng	ciáng	chyáng
qiǎng	ㄑㄧㄤˇ	t͡ɕʰjɑŋ˨˩˦	ch'iang³	cheang	chiaang	chiǎng	ciǎng	chyǎng
qiàng	ㄑㄧㄤˋ	t͡ɕʰjɑŋ˥˩	ch'iang⁴	chianq	chiahng	chiàng	ciàng	chyàng
qiang	˙ㄑㄧㄤ	t͡ɕʰjɑŋ	ch'iang⁵	.chiang	'chiang	chiang	ciång	chyang
qiāo	ㄑㄧㄠ	t͡ɕʰjɑʊ˥	ch'iao¹	chiau	chiau	chiāu	ciao	chyāu
qiáo	ㄑㄧㄠˊ	t͡ɕʰjɑʊ˧˥	ch'iao²	chyau	chiaur	chiáu	ciáo	chyáu
qiǎo	ㄑㄧㄠˇ	t͡ɕʰjɑʊ˨˩˦	ch'iao³	cheau	chiaau	chiǎu	ciǎo	chyǎu
qiào	ㄑㄧㄠˋ	t͡ɕʰjɑʊ˥˩	ch'iao⁴	chiaw	chiauh	chiàu	ciào	chyàu
qiao	˙ㄑㄧㄠ	t͡ɕʰjɑʊ	ch'iao⁵	.chiau	'chiau	chiau	ciåo	chyau
qiē	ㄑㄧㄝ	t͡ɕʰjɛ˥	ch'ieh¹	chie	chie	chiē	cie	chyē
qié	ㄑㄧㄝˊ	t͡ɕʰjɛ˧˥	ch'ieh²	chye	chier	chié	cié	chyé
qiě	ㄑㄧㄝˇ	t͡ɕʰjɛ˨˩˦	ch'ieh³	chiee	chiee	chiě	ciě	chyě
qiè	ㄑㄧㄝˋ	t͡ɕʰjɛ˥˩	ch'ieh⁴	chieh	chieh	chiè	ciè	chyè
qie	˙ㄑㄧㄝ	t͡ɕʰjɛ	ch'ieh⁵	.chie	'chie	chie	cie̊	chye
qīn	ㄑㄧㄣ	t͡ɕʰin˥	ch'in¹	chin	chin	chīn	cin	chīn
qín	ㄑㄧㄣˊ	t͡ɕʰin˧˥	ch'in²	chyn	chirn	chín	cín	chín
