Pinyin	Bopomofo	IPA	Wade-Giles	GR	Simp.GR	MPS2	Tongyong	Yale
tìng	ㄊㄧㄥˋ	tʰiŋ˥˩	t'ing⁴	tinq	tihng	tìng	tìng	tìng
ting	˙ㄊㄧㄥ	tʰiŋ	t'ing⁵	.ting	'ting	ting	ti̊ng	ting
tōng	ㄊㄨㄥ	tʰʊŋ˥	t'ung¹	tong	tung	tūng	tong	tūng
tóng	ㄊㄨㄥˊ	tʰʊŋ˧˥	t'ung²	torng	turng	túng	tóng	túng
tǒng	ㄊㄨㄥˇ	tʰʊŋ˨˩˦	t'ung³	toong	tuung	tǔng	tǒng	tǔng
tòng	ㄊㄨㄥˋ	tʰʊŋ˥˩	t'ung⁴	tonq	tuhng	tùng	tòng	tùng
tong	˙ㄊㄨㄥ	tʰʊŋ	t'ung⁵	.tong	'tong	tung	to̊ng	tung
tōu	ㄊㄡ	tʰoʊ˥	t'ou¹	tou	tou	tōu	tou	tōu
tóu	ㄊㄡˊ	tʰoʊ˧˥	t'ou²	tour	tour	tóu	tóu	tóu
tǒu	ㄊㄡˇ	tʰoʊ˨˩˦	t'ou³	toou	toou	tǒu	tǒu	tǒu
tòu	ㄊㄡˋ	tʰoʊ˥˩	t'ou⁴	tow	touh	tòu	tòu	tòu
tou	˙ㄊㄡ	tʰoʊ	t'ou⁵	.tou	'tou	tou	to̊u	tou
tū	ㄊㄨ	tʰu˥	t'u¹	tu	tu	tū	tu	tū
tú	ㄊㄨˊ	tʰu˧˥	t'u²	twu	tur	tú	tú	tú
tǔ	ㄊㄨˇ	tʰu˨˩˦	t'u³	tuu	tuu	tǔ	tǔ	tǔ
tù	ㄊㄨˋ	tʰu˥˩	t'u⁴	tuh	tuh	tù	tù	tù
tu	˙ㄊㄨ	tʰu	t'u⁵	.tu	'tu	tu	tů	tu
tuān	ㄊㄨㄢ	tʰwan˥	t'uan¹	tuan	tuan	tuān	tuan	twān
tuán	ㄊㄨㄢˊ	tʰwan˧˥	t'uan²	twan	tuarn	tuán	tuán	twán
tuǎn	ㄊㄨㄢˇ	tʰwan˨˩˦	t'uan³	toan	tuaan	tuǎn	tuǎn	twǎn
tuàn	ㄊㄨㄢˋ	tʰwan˥˩	t'uan⁴	tuann	tuahn	tuàn	tuàn	twàn
tuan	˙ㄊㄨㄢ	tʰwan	t'uan⁵	.tuan	'tuan	tuan	tuån	twan
tuī	ㄊㄨㄟ	tʰweɪ˥	t'ui¹	tuei	tui	tuēi	tuei	twēi
tuí	ㄊㄨㄟˊ	tʰweɪ˧˥	t'ui²	twei	tuir	tuéi	tuéi	twéi
tuǐ	ㄊㄨㄟˇ	tʰweɪ˨˩˦	t'ui³	toei	tuii	tuěi	tuěi	twěi
tuì	ㄊㄨㄟˋ	tʰweɪ˥˩	t'ui⁴	tuey	tuih	tuèi	tuèi	twèi
tui	˙ㄊㄨㄟ	tʰweɪ	t'ui⁵	.tuei	'tui	tuei	tue̊i	twei
tūn	ㄊㄨㄣ	tʰwən˥	t'un¹	tuen	tun	tuēn	tun	twēn
tún	ㄊㄨㄣˊ	tʰwən˧˥	t'un²	twen	turn	tuén	tún	twén
tǔn	ㄊㄨㄣˇ	tʰwən˨˩˦	t'un³	toen	tuun	tuěn	tǔn	twěn
tùn	ㄊㄨㄣˋ	tʰwən˥˩	t'un⁴	tuenn	tuhn	tuèn	tùn	twèn
tun	˙ㄊㄨㄣ	tʰwən	t'un⁵	.tuen	'tun	tuen	tůn	twen
tuō	ㄊㄨㄛ	tʰwo˥	t'o¹	tuo	tuo	tuō	tuo	twō
tuó	ㄊㄨㄛˊ	tʰwo˧˥	t'o²	two	tuor	tuó	tuó	twó
tuǒ	ㄊㄨㄛˇ	tʰwo˨˩˦	t'o³	tuoo	tuoo	tuǒ	tuǒ	twǒ
tuò	ㄊㄨㄛˋ	tʰwo˥˩	t'o⁴	tuoh	tuoh	tuò	tuò	twò
tuo	˙ㄊㄨㄛ	tʰwo	t'o⁵	.tuo	'tuo	tuo	tuo̊	two
wā	ㄨㄚ	wa˥	wa¹	ua	wa	wā	wa	wā
wá	ㄨㄚˊ	wa˧˥	wa²	wa	war	wá	wá	wá
wǎ	ㄨㄚˇ	wa˨˩˦	wa³	waa	waa	wǎ	wǎ	wǎ
wà	ㄨㄚˋ	wa˥˩	wa⁴	wah	wah	wà	wà	wà
wa	˙ㄨㄚ	wa	wa⁵	.ua	'wa	wa	wå	wa
wāi	ㄨㄞ	waɪ˥	wai¹	uai	wai	wāi	wai	wāi
wái	ㄨㄞˊ	waɪ˧˥	wai²	wai	wair	wái	wái	wái
wǎi	ㄨㄞˇ	waɪ˨˩˦	wai³	woai	waii	wǎi	wǎi	wǎi
wài	ㄨㄞˋ	waɪ˥˩	wai⁴	way	waih	wài	wài	wài
wai	˙ㄨㄞ	waɪ	wai⁵	.uai	'wai	wai	wåi	wai
wān	ㄨㄢ	wan˥	wan¹	uan	wan	wān	wan	wān
wán	ㄨㄢˊ	wan˧˥	wan²	wan	warn	wán	wán	wán
wǎn	ㄨㄢˇ	wan˨˩˦	wan³	woan	waan	wǎn	wǎn	wǎn
wàn	ㄨㄢˋ	wan˥˩	wan⁴	wann	wahn	wàn	wàn	wàn
wan	˙ㄨㄢ	wan	wan⁵	.uan	'wan	wan	wån	wan
wāng	ㄨㄤ	wɑŋ˥	wang¹	uang	wang	wāng	wang	wāng
wáng	ㄨㄤˊ	wɑŋ˧˥	wang²	wang	warng	wáng	wáng	wáng
wǎng	ㄨㄤˇ	wɑŋ˨˩˦	wang³	woang	waang	wǎng	wǎng	wǎng
wàng	ㄨㄤˋ	wɑŋ˥˩	wang⁴	wanq	wahng	wàng	wàng	wàng
wang	˙ㄨㄤ	wɑŋ	wang⁵	.uang	'wang	wang	wång	wang
wēi	ㄨㄟ	weɪ˥	wei¹	uei	wei	wēi	wei	wēi
wéi	ㄨㄟˊ	weɪ˧˥	wei²	wei	weir	wéi	wéi	wéi
wěi	ㄨㄟˇ	weɪ˨˩˦	wei³	woei	weii	wěi	wěi	wěi
wèi	ㄨㄟˋ	weɪ˥˩	wei⁴	wey	weih	wèi	wèi	wèi
wei	˙ㄨㄟ	weɪ	wei⁵	.uei	'wei	wei	we̊i	wei
wēn	ㄨㄣ	wən˥	wen¹	uen	wen	wēn	wun	wēn
wén	ㄨㄣˊ	wən˧˥	wen²	wen	wern	wén	wún	wén
wěn	ㄨㄣˇ	wən˨˩˦	wen³	woen	ween	wěn	wǔn	wěn
wèn	ㄨㄣˋ	wən˥˩	wen⁴	wenn	wehn	wèn	wùn	wèn
wen	˙ㄨㄣ	wən	wen⁵	.uen	'wen	wen	wůn	wen
wēng	ㄨㄥ	wɤŋ˥	weng¹	ueng	weng	wēng	wong	wēng
wéng	ㄨㄥˊ	wɤŋ˧˥	weng²	weng	werng	wéng	wóng	wéng
wěng	ㄨㄥˇ	wɤŋ˨˩˦	weng³	woeng	weeng	wěng	wǒng	wěng
wèng	ㄨㄥˋ	wɤŋ˥˩	weng⁴	wenq	wehng	wèng	wòng	wèng
weng	˙ㄨㄥ	wɤŋ	weng⁵	.ueng	'weng	weng	wo̊ng	weng
wō	ㄨㄛ	wo˥	wo¹	uo	wo	wō	wo	wō
wó	ㄨㄛˊ	wo˧˥	wo²	wo	wor	wó	wó	wó
wǒ	ㄨㄛˇ	wo˨˩˦	wo³	woo	woo	wǒ	wǒ	wǒ
wò	ㄨㄛˋ	wo˥˩	wo⁴	woh	woh	wò	wò	wò
wo	˙ㄨㄛ	wo	wo⁵	.uo	'wo	wo	wo̊	wo
wū	ㄨ	wu˥	wu¹	u	wu	wū	wu	wū
wú	ㄨˊ	wu˧˥	wu²	wu	wur	wú	wú	wú
wǔ	ㄨˇ	wu˨˩˦	wu³	wuu	wuu	wǔ	wǔ	wǔ
wù	ㄨˋ	wu˥˩	wu⁴	wuh	wuh	wù	wù	wù
wu	˙ㄨ	wu	wu⁵	.u	'wu	wu	wů	wu
xī	ㄒㄧ	ɕi˥	hsi¹	shi	shi	shī	si	syī
xí	ㄒㄧˊ	ɕi˧˥	hsi²	shyi	shir	shí	sí	syí
xǐ	ㄒㄧˇ	ɕi˨˩˦	hsi³	shii	shii	shǐ	sǐ	syǐ
xì	ㄒㄧˋ	ɕi˥˩	hsi⁴	shih	shih	shì	sì	syì
xi	˙ㄒㄧ	ɕi	hsi⁵	.shi	'shi	shi	si̊	syi
xiā	ㄒㄧㄚ	ɕja˥	hsia¹	shia	shia	shiā	sia	syā
xiá	ㄒㄧㄚˊ	ɕja˧˥	hsia²	shya	shiar	shiá	siá	syá
xiǎ	ㄒㄧㄚˇ	ɕja˨˩˦	hsia³	shea	shiaa	shiǎ	siǎ	syǎ
xià	ㄒㄧㄚˋ	ɕja˥˩	hsia⁴	shiah	shiah	shià	sià	syà
xia	˙ㄒㄧㄚ	ɕja	hsia⁵	.shia	'shia	shia	siå	sya
xiān	ㄒㄧㄢ	ɕjɛn˥	hsien¹	shian	shian	shiān	sian	syān
xián	ㄒㄧㄢˊ	ɕjɛn˧˥	hsien²	shyan	shiarn	shián	sián	syán
xiǎn	ㄒㄧㄢˇ	ɕjɛn˨˩˦	hsien³	shean	shiaan	shiǎn	siǎn	syǎn
xiàn	ㄒㄧㄢˋ	ɕjɛn˥˩	hsien⁴	shiann	shiahn	shiàn	siàn	syàn
xian	˙ㄒㄧㄢ	ɕjɛn	hsien⁵	.shian	'shian	shian	siån	syan
xiāng	ㄒㄧㄤ	ɕjɑŋ˥	hsiang¹	shiang	shiang	shiāng	siang	syāng
xiáng	ㄒㄧㄤˊ	ɕjɑŋ˧˥	hsiang²	shyang	shiarng	shiáng	siáng	syáng
xiǎng	ㄒㄧㄤˇ	ɕjɑŋ˨˩˦	hsiang³	sheang	shiaang	shiǎng	siǎng	syǎng
xiàng	ㄒㄧㄤˋ	ɕjɑŋ˥˩	hsiang⁴	shianq	shiahng	shiàng	siàng	syàng
xiang	˙ㄒㄧㄤ	ɕjɑŋ	hsiang⁵	.shiang	'shiang	shiang	siång	syang
xiāo	ㄒㄧㄠ	ɕjɑʊ˥	hsiao¹	shiau	shiau	shiāu	siao	syāu
xiáo	ㄒㄧㄠˊ	ɕjɑʊ˧˥	hsiao²	shyau	shiaur	shiáu	siáo	syáu
xiǎo	ㄒㄧㄠˇ	ɕjɑʊ˨˩˦	hsiao³	sheau	shiaau	shiǎu	siǎo	syǎu
xiào	ㄒㄧㄠˋ	ɕjɑʊ˥˩	hsiao⁴	shiaw	shiauh	shiàu	siào	syàu
xiao	˙ㄒㄧㄠ	ɕjɑʊ	hsiao⁵	.shiau	'shiau	shiau	siåo	syau
xiē	ㄒㄧㄝ	ɕjɛ˥	hsieh¹	shie	shie	shiē	sie	syē
xié	ㄒㄧㄝˊ	ɕjɛ˧˥	hsieh²	shye	shier	shié	sié	syé
xiě	ㄒㄧㄝˇ	ɕjɛ˨˩˦	hsieh³	shiee	shiee	shiě	siě	syě
xiè	ㄒㄧㄝˋ	ɕjɛ˥˩	hsieh⁴	shieh	shieh	shiè	siè	syè
xie	˙ㄒㄧㄝ	ɕjɛ	hsieh⁵	.shie	'shie	shie	sie̊	sye
xīn	ㄒㄧㄣ	ɕin˥	hsin¹	shin	shin	shīn	sin	syīn
xín	ㄒㄧㄣˊ	ɕin˧˥	hsin²	shyn	shirn	shín	sín	syín
xǐn	ㄒㄧㄣˇ	ɕin˨˩˦	hsin³	shiin	shiin	shǐn	sǐn	syǐn
xìn	ㄒㄧㄣˋ	ɕin˥˩	hsin⁴	shinn	shihn	shìn	sìn	syìn
xin	˙ㄒㄧㄣ	ɕin	hsin⁵	.shin	'shin	shin	si̊n	syin
xīng	ㄒㄧㄥ	ɕiŋ˥	hsing¹	shing	shing	shīng	sing	syīng
xíng	ㄒㄧㄥˊ	ɕiŋ˧˥	hsing²	shyng	shirng	shíng	síng	syíng
xǐng	ㄒㄧㄥˇ	ɕiŋ˨˩˦	hsing³	shiing	shiing	shǐng	sǐng	syǐng
xìng	ㄒㄧㄥˋ	ɕiŋ˥˩	hsing⁴	shinq	shihng	shìng	sìng	syìng
xing	˙ㄒㄧㄥ	ɕiŋ	hsing⁵	.shing	'shing	shing	si̊ng	sying
xiōng	ㄒㄩㄥ	ɕjʊŋ˥	hsiung¹	shiong	shyung	shiūng	syong	syūng
xióng	ㄒㄩㄥˊ	ɕjʊŋ˧˥	hsiung²	shyong	shyurng	shiúng	syóng	syúng
xiǒng	ㄒㄩㄥˇ	ɕjʊŋ˨˩˦	hsiung³	sheong	shyuung	shiǔng	syǒng	syǔng
xiòng	ㄒㄩㄥˋ	ɕjʊŋ˥˩	hsiung⁴	shionq	shyuhng	shiùng	syòng	syùng
xiong	˙ㄒㄩㄥ	ɕjʊŋ	hsiung⁵	.shiong	'shiong	shiung	syo̊ng	syung
xiū	ㄒㄧㄡ	ɕjoʊ˥	hsiu¹	shiou	shiu	shiū	siou	syōu
xiú	ㄒㄧㄡˊ	ɕjoʊ˧˥	hsiu²	shyou	shiur	shiú	sióu	syóu
xiǔ	ㄒㄧㄡˇ	ɕjoʊ˨˩˦	hsiu³	sheou	shiuu	shiǔ	siǒu	syǒu
xiù	ㄒㄧㄡˋ	ɕjoʊ˥˩	hsiu⁴	shiow	shiuh	shiù	siòu	syòu
xiu	˙ㄒㄧㄡ	ɕjoʊ	hsiu⁵	.shiou	'shiu	shiu	sio̊u	syou
xū	ㄒㄩ	ɕy˥	hsü¹	shiu	shu	shū	syu	syū
xú	ㄒㄩˊ	ɕy˧˥	hsü²	shyu	shur	shú	syú	syú
xǔ	ㄒㄩˇ	ɕy˨˩˦	hsü³	sheu	shuu	shǔ	syǔ	syǔ
xù	ㄒㄩˋ	ɕy˥˩	hsü⁴	shiuh	shuh	shù	syù	syù
xu	˙ㄒㄩ	ɕy	hsü⁵	.shiu	'shu	shu	syů	syu
xuān	ㄒㄩㄢ	ɕɥæn˥	hsüan¹	shiuan	shuan	shiuān	syuan	sywān
xuán	ㄒㄩㄢˊ	ɕɥæn˧˥	hsüan²	shyuan	shuarn	shiuán	syuán	sywán
xuǎn	ㄒㄩㄢˇ	ɕɥæn˨˩˦	hsüan³	sheuan	shuaan	shiuǎn	syuǎn	sywǎn
xuàn	ㄒㄩㄢˋ	ɕɥæn˥˩	hsüan⁴	shiuann	shuahn	shiuàn	syuàn	sywàn
xuan	˙ㄒㄩㄢ	ɕɥæn	hsüan⁵	.shiuan	'shuan	shiuan	syuån	sywan
xuē	ㄒㄩㄝ	ɕɥɛ˥	hsüeh¹	shiue	shue	shiuē	syue	sywē
xué	ㄒㄩㄝˊ	ɕɥɛ˧˥	hsüeh²	shyue	shuer	shiué	syué	sywé
xuě	ㄒㄩㄝˇ	ɕɥɛ˨˩˦	hsüeh³	sheue	shuee	shiuě	syuě	sywě
xuè	ㄒㄩㄝˋ	ɕɥɛ˥˩	hsüeh⁴	shiueh	shueh	shiuè	syuè	sywè
xue	˙ㄒㄩㄝ	ɕɥɛ	hsüeh⁵	.shiue	'shue	shiue	syue̊	sywe
xūn	ㄒㄩㄣ	ɕyn˥	hsün¹	shiun	shun	shiūn	syun	syūn
xún	ㄒㄩㄣˊ	ɕyn˧˥	hsün²	shyun	shurn	shiún	syún	syún
xǔn	ㄒㄩㄣˇ	ɕyn˨˩˦	hsün³	sheun	shuun	shiǔn	syǔn	syǔn
xùn	ㄒㄩㄣˋ	ɕyn˥˩	hsün⁴	shiunn	shuhn	shiùn	syùn	syùn
xun	˙ㄒㄩㄣ	ɕyn	hsün⁵	.shiun	'shun	shiun	syůn	syun
yā	ㄧㄚ	ja˥	ya¹	ia	ya	yā	ya	yā
yá	ㄧㄚˊ	ja˧˥	ya²	ya	yar	yá	yá	yá
yǎ	ㄧㄚˇ	ja˨˩˦	ya³	yea	yaa	yǎ	yǎ	yǎ
yà	ㄧㄚˋ	ja˥˩	ya⁴	yah	yah	yà	yà	yà
ya	˙ㄧㄚ	ja	ya⁵	.ia	'ya	ya	yå	ya
yāi	ㄧㄞ	jaɪ˥	yai¹	iai	yai	yāi	yai	yāi
yái	ㄧㄞˊ	jaɪ˧˥	yai²	yai	yair	yái	yái	yái
yǎi	ㄧㄞˇ	jaɪ˨˩˦	yai³	yae	yaii	yǎi	yǎi	yǎi
yài	ㄧㄞˋ	jaɪ˥˩	yai⁴	yay	yaih	yài	yài	yài
yai	˙ㄧㄞ	jaɪ	yai⁵	.iai	'yai	yai	yåi	yai
yān	ㄧㄢ	jan˥	yan¹	ian	yan	yān	yan	yān
yán	ㄧㄢˊ	jan˧˥	yan²	yan	yarn	yán	yán	yán
yǎn	ㄧㄢˇ	jan˨˩˦	yan³	yean	yaan	yǎn	yǎn	yǎn
yàn	ㄧㄢˋ	jan˥˩	yan⁴	yann	yahn	yàn	yàn	yàn
yan	˙ㄧㄢ	jan	yan⁵	.ian	'yan	yan	yån	yan
yāng	ㄧㄤ	jɑŋ˥	yang¹	iang	yang	yāng	yang	yāng
yáng	ㄧㄤˊ	jɑŋ˧˥	yang²	yang	yarng	yáng	yáng	yáng
yǎng	ㄧㄤˇ	jɑŋ˨˩˦	yang³	yeang	yaang	yǎng	yǎng	yǎng
yàng	ㄧㄤˋ	jɑŋ˥˩	yang⁴	yanq	yahng	yàng	yàng	yàng
yang	˙ㄧㄤ	jɑŋ	yang⁵	.iang	'yang	yang	yång	yang
yāo	ㄧㄠ	jɑʊ˥	yao¹	iau	yau	yāu	yao	yāu
yáo	ㄧㄠˊ	jɑʊ˧˥	yao²	yau	yaur	yáu	yáo	yáu
yǎo	ㄧㄠˇ	jɑʊ˨˩˦	yao³	yeau	yaau	yǎu	yǎo	yǎu
yào	ㄧㄠˋ	jɑʊ˥˩	yao⁴	yaw	yauh	yàu	yào	yàu
yao	˙ㄧㄠ	jɑʊ	yao⁵	.iau	'yau	yau	yåo	yau
yē	ㄧㄝ	jɛ˥	yeh¹	ie	ye	yē	ye	yē
yé	ㄧㄝˊ	jɛ˧˥	yeh²	ye	yer	yé	yé	yé
yě	ㄧㄝˇ	jɛ˨˩˦	yeh³	yee	yee	yě	yě	yě
yè	ㄧㄝˋ	jɛ˥˩	yeh⁴	yeh	yeh	yè	yè	yè
ye	˙ㄧㄝ	jɛ	yeh⁵	.ie	'ye	ye	ye̊	ye
yī	ㄧ	ji˥	i¹	i	yi	yī	yi	yī
yí	ㄧˊ	ji˧˥	i²	yi	yir	yí	yí	yí
yǐ	ㄧˇ	ji˨˩˦	i³	yii	yii	yǐ	yǐ	yǐ
yì	ㄧˋ	ji˥˩	i⁴	yih	yih	yì	yì	yì
yi	˙ㄧ	ji	i⁵	.i	'yi	yi	yi̊	yi
yīn	ㄧㄣ	jin˥	yin¹	in	yin	yīn	yin	yīn
yín	ㄧㄣˊ	jin˧˥	yin²	yn	yirn	yín	yín	yín
yǐn	ㄧㄣˇ	jin˨˩˦	yin³	yiin	yiin	yǐn	yǐn	yǐn
yìn	ㄧㄣˋ	jin˥˩	yin⁴	yinn	yihn	yìn	yìn	yìn
yin	˙ㄧㄣ	jin	yin⁵	.in	'yin	yin	yi̊n	yin
yīng	ㄧㄥ	jiŋ˥	ying¹	ing	ying	yīng	ying	yīng
yíng	ㄧㄥˊ	jiŋ˧˥	ying²	yng	yirng	yíng	yíng	yíng
yǐng	ㄧㄥˇ	jiŋ˨˩˦	ying³	yiing	yiing	yǐng	yǐng	yǐng
yìng	ㄧㄥˋ	jiŋ˥˩	ying⁴	yinq	yihng	yìng	yìng	yìng
ying	˙ㄧㄥ	jiŋ	ying⁵	.ing	'ying	ying	yi̊ng	ying
yōng	ㄩㄥ	jʊŋ˥	yung¹	iong	yung	yung1	yong	yūng
yóng	ㄩㄥˊ	jʊŋ˧˥	yung²	yong	yurng	yung2	yóng	yúng
yǒng	ㄩㄥˇ	jʊŋ˨˩˦	yung³	yeong	yuung	yung3	yǒng	yǔng
yòng	ㄩㄥˋ	jʊŋ˥˩	yung⁴	yonq	yuhng	yung4	yòng	yùng
yong	˙ㄩㄥ	jʊŋ	yung⁵	.iong	'yong	yung5	yo̊ng	yung
yō	ㄧㄛ	jo˥	yo¹	io	yo	yō	yo	yō
yó	ㄧㄛˊ	jo˧˥	yo²	yo	yor	yó	yó	yó
yǒ	ㄧㄛˇ	jo˨˩˦	yo³	yoo	yoo	yǒ	yǒ	yǒ
yò	ㄧㄛˋ	jo˥˩	yo⁴	yoh	yoh	yò	yò	yò
yo	˙ㄧㄛ	jo	yo⁵	.io	'yo	yo	yo̊	yo
yōu	ㄧㄡ	joʊ˥	yu¹	iou	you	yōu	you	yōu
yóu	ㄧㄡˊ	joʊ˧˥	yu²	you	your	yóu	yóu	yóu
yǒu	ㄧㄡˇ	joʊ˨˩˦	yu³	yeou	yoou	yǒu	yǒu	yǒu
yòu	ㄧㄡˋ	joʊ˥˩	yu⁴	yow	youh	yòu	yòu	yòu
you	˙ㄧㄡ	joʊ	yu⁵	.iou	'you	you	yo̊u	you
yū	ㄩ	y˥	yü¹	iu	yu	yū	yu	yū
yú	ㄩˊ	y˧˥	yü²	yu	yur	yú	yú	yú
yǔ	ㄩˇ	y˨˩˦	yü³	yeu	yuu	yǔ	yǔ	yǔ
yù	ㄩˋ	y˥˩	yü⁴	yuh	yuh	yù	yù	yù
yu	˙ㄩ	y	yü⁵	.iu	'yu	yu	yů	yu
yuān	ㄩㄢ	ɥæn˥	yüan¹	iuan	yuan	yuān	yuan	ywān
yuán	ㄩㄢˊ	ɥæn˧˥	yüan²	yuan	yuarn	yuán	yuán	ywán
yuǎn	ㄩㄢˇ	ɥæn˨˩˦	yüan³	yeuan	yuaan	yuǎn	yuǎn	ywǎn
yuàn	ㄩㄢˋ	ɥæn˥˩	yüan⁴	yuann	yuahn	yuàn	yuàn	ywàn
yuan	˙ㄩㄢ	ɥæn	yüan⁵	.iuan	'yuan	yuan	yuån	ywan
yuē	ㄩㄝ	ɥɛ˥	yüeh¹	iue	yue	yuē	yue	ywē
yué	ㄩㄝˊ	ɥɛ˧˥	yüeh²	yue	yuer	yué	yué	ywé
yuě	ㄩㄝˇ	ɥɛ˨˩˦	yüeh³	yeue	yuee	yuě	yuě	ywě
yuè	ㄩㄝˋ	ɥɛ˥˩	yüeh⁴	yueh	yueh	yuè	yuè	ywè
yue	˙ㄩㄝ	ɥɛ	yüeh⁵	.iue	'yue	yue	yue̊	ywe
yūn	ㄩㄣ	yn˥	yün¹	iun	yun	yūn	yun	yūn
yún	ㄩㄣˊ	yn˧˥	yün²	yun	yurn	yún	yún	yún
yǔn	ㄩㄣˇ	yn˨˩˦	yün³	yeun	yuun	yǔn	yǔn	yǔn
yùn	ㄩㄣˋ	yn˥˩	yün⁴	yunn	yuhn	yùn	yùn	yùn
yun	˙ㄩㄣ	yn	yün⁵	.iun	'yun	yun	yůn	yun
zā	ㄗㄚ	t͡sa˥	tsa¹	tza	tza	tzā	za	dzā
zá	ㄗㄚˊ	t͡sa˧˥	tsa²	tzar	tzar	tzá	zá	dzá
zǎ	ㄗㄚˇ	t͡sa˨˩˦	tsa³	tzaa	tzaa	tzǎ	zǎ	dzǎ
zà	ㄗㄚˋ	t͡sa˥˩	tsa⁴	tzah	tzah	tzà	zà	dzà
za	˙ㄗㄚ	t͡sa	tsa⁵	.tza	'tza	tza	zå	dza
zāi	ㄗㄞ	t͡saɪ˥	tsai¹	tzai	tzai	tzāi	zai	dzāi
zái	ㄗㄞˊ	t͡saɪ˧˥	tsai²	tzair	tzair	tzái	zái	dzái
zǎi	ㄗㄞˇ	t͡saɪ˨˩˦	tsai³	tzae	tzaii	tzǎi	zǎi	dzǎi
zài	ㄗㄞˋ	t͡saɪ˥˩	tsai⁴	tzay	tzaih	tzài	zài	dzài
zai	˙ㄗㄞ	t͡saɪ	tsai⁵	.tzai	'tzai	tzai	zåi	dzai
zān	ㄗㄢ	t͡san˥	tsan¹	tzan	tzan	tzān	zan	dzān
zán	ㄗㄢˊ	t͡san˧˥	tsan²	tzarn	tzarn	tzán	zán	dzán
zǎn	ㄗㄢˇ	t͡san˨˩˦	tsan³	tzaan	tzaan	tzǎn	zǎn	dzǎn
zàn	ㄗㄢˋ	t͡san˥˩	tsan⁴	tzann	tzahn	tzàn	zàn	dzàn
zan	˙ㄗㄢ	t͡san	tsan⁵	.tzan	'tzan	tzan	zån	dzan
zāng	ㄗㄤ	t͡sɑŋ˥	tsang¹	tzang	tzang	tzāng	zang	dzāng
záng	ㄗㄤˊ	t͡sɑŋ˧˥	tsang²	tzarng	tzarng	tzáng	záng	dzáng
zǎng	ㄗㄤˇ	t͡sɑŋ˨˩˦	tsang³	tzaang	tzaang	tzǎng	zǎng	dzǎng
zàng	ㄗㄤˋ	t͡sɑŋ˥˩	tsang⁴	tzanq	tzahng	tzàng	zàng	dzàng
zang	˙ㄗㄤ	t͡sɑŋ	tsang⁵	.tzang	'tzang	tzang	zång	dzang
zāo	ㄗㄠ	t͡sɑʊ˥	tsao¹	tzau	tzau	tzāu	zao	dzāu
záo	ㄗㄠˊ	t͡sɑʊ˧˥	tsao²	tzaur	tzaur	tzáu	záo	dzáu
zǎo	ㄗㄠˇ	t͡sɑʊ˨˩˦	tsao³	tzao	tzaau	tzǎu	zǎo	dzǎu
zào	ㄗㄠˋ	t͡sɑʊ˥˩	tsao⁴	tzaw	tzauh	tzàu	zào	dzàu
zao	˙ㄗㄠ	t͡sɑʊ	tsao⁵	.tzau	'tzau	tzau	zåo	dzau
zē	ㄗㄜ	t͡sɤ˥	tse¹	tze	tze	tzē	ze	dzē
zé	ㄗㄜˊ	t͡sɤ˧˥	tse²	tzer	tzer	tzé	zé	dzé
zě	ㄗㄜˇ	t͡sɤ˨˩˦	tse³	tzee	tzee	tzě	zě	dzě
zè	ㄗㄜˋ	t͡sɤ˥˩	tse⁴	tzeh	tzeh	tzè	zè	dzè
ze	˙ㄗㄜ	t͡sɤ	tse⁵	.tze	'tze	tze	ze̊	dze
zēi	ㄗㄟ	t͡seɪ˥	tsei¹	tzei	tzei	tzēi	zei	dzēi
zéi	ㄗㄟˊ	t͡seɪ˧˥	tsei²	tzeir	tzeir	tzéi	zéi	dzéi
zěi	ㄗㄟˇ	t͡seɪ˨˩˦	tsei³	tzeei	tzeii	tzěi	zěi	dzěi
zèi	ㄗㄟˋ	t͡seɪ˥˩	tsei⁴	tzey	tzeih	tzèi	zèi	dzèi
zei	˙ㄗㄟ	t͡seɪ	tsei⁵	.tzei	'tzei	tzei	ze̊i	dzei
zēn	ㄗㄣ	t͡sən˥	tsen¹	tzen	tzen	tzēn	zen	dzēn
zén	ㄗㄣˊ	t͡sən˧˥	tsen²	tzern	tzern	tzén	zén	dzén
zěn	ㄗㄣˇ	t͡sən˨˩˦	tsen³	tzeen	tzeen	tzěn	zěn	dzěn
zèn	ㄗㄣˋ	t͡sən˥˩	tsen⁴	tzenn	tzehn	tzèn	zèn	dzèn
zen	˙ㄗㄣ	t͡sən	tsen⁵	.tzen	'tzen	tzen	ze̊n	dzen
zēng	ㄗㄥ	t͡sɤŋ˥	tseng¹	tzeng	tzeng	tzēng	zeng	dzēng
zéng	ㄗㄥˊ	t͡sɤŋ˧˥	tseng²	tzerng	tzerng	tzéng	zéng	dzéng
zěng	ㄗㄥˇ	t͡sɤŋ˨˩˦	tseng³	tzeeng	tzeeng	tzěng	zěng	dzěng
zèng	ㄗㄥˋ	t͡sɤŋ˥˩	tseng⁴	tzenq	tzehng	tzèng	zèng	dzèng
zeng	˙ㄗㄥ	t͡sɤŋ	tseng⁵	.tzeng	'tzeng	tzeng	ze̊ng	dzeng
zhā	ㄓㄚ	t͡ʂa˥	cha¹	ja	ja	jā	jha	jā
zhá	ㄓㄚˊ	t͡ʂa˧˥	cha²	jar	jar	já	jhá	já
