Pinyin	Katakana	Palladitsa	Xiaoerjing
xia	シャー	ся	ثِیَا
xian	シエン	сянь	ثِیًا
xiang	シャン	сян	ثِیَانْ
xiao	シャオ	сяо	ثِیَوْ
xie	シエ	се	ثِیَ
xin	シン	синь	ثٍ
xing	シン	син	ثٍْ
xiong	ション	сюн	ثِیٌ
xiu	シュー	сю	ثِیُوْ
xu	シー	сюй	ثِیُوِ
xuan	シュエン	сюань	ثِیُوًا
xue	シュエ	сюэ	ثِیُوَ
xun	シン	сюнь	ثٌ
ya	ヤー	я	یَا
yan	イエン	янь	یًا
yang	ヤン	ян	یَانْ
yao	ヤオ	яо	یَوْ
ye	イエ	е	یَ
yi	イー	и	ءِ
yin	イン	инь	ءٍ
ying	イン	ин	یٍ
yo	ヨー	йо	یُوَ
yong	ヨン	юн	یٌ
you	ヨウ	ю	یُوْ
yu	イー	юй	یُوِ
yuan	ユエン	юань	یُوًا
yue	ユエ	юэ	یُوَ
yun	イン	юнь	ءٌ
za	ザー	цза	زَا
zai	ザイ	цзай	زَیْ
zan	ザン	цзань	زًا
zang	ザン	цзан	زَانْ
zao	ザオ	цзао	زَوْ
ze	ゾー	цзэ	زَ
zei	ゼイ	цзэй	زِْ
zen	ゼン	цзэнь	زٍ
zeng	ゾン	цзэн	زٍْ
zha	ジャー	чжа	جَا
zhai	ジャイ	чжай	جَیْ
zhan	ジャン	чжань	جًا
zhang	ジャン	чжан	جَانْ
zhao	ジャオ	чжао	جَوْ
zhe	ジョー	чжэ	جَ
zhei	ジェイ	чжэй	جُوِ
zhen	ジェン	чжэнь	جٍ
zheng	ジョン	чжэн	جٍْ
zhi	ジー	чжи	جِ
zhong	ジョン	чжун	جْو
zhou	ジョウ	чжоу	جِوْ
zhu	ジュー	чжу	جُ
zhua	ジュワー	чжуа	جُوَا
zhuai	ジュワイ	чжуай	جُوَیْ
zhuan	ジュワン	чжуань	جُوًا
zhuang	ジュワン	чжуан	جُوَانْ
zhui	ジュイ	чжуй	جُوِ
zhun	ジュン	чжунь	جٌ
zhuo	ジュオ	чжо	جُوَ
zi	ズー	цзы	زِ
zong	ゾン	цзун	ظْو
zou	ゾウ	цзоу	زِوْ
zu	ズー	цзу	زُو
zuan	ズワン	цзуань	زُوًا
zui	ズイ	цзуй	ظُوِ
zun	ズン	цзунь	ظٌ
zuo	ズオ	цзо	ظُوَ
